Name,Fpts,Position,Team,Opponent,Minutes,Salary,PtsPerDollar,Value
Nikola Jokic,54.05,C,DEN,DET,34,"10,900",4.96,-0.45
Giannis Antetokounmpo,53.44,PF,MIL,POR,33,"11,600",4.61,-4.56
Luka Doncic,51.18,PG,DAL,PHX,35,"10,700",4.78,-2.32
Damian Lillard,50.34,PG,POR,MIL,37,"10,000",5.03,0.34
Anthony Davis,48.89,PF,LAL,ATL,34,"10,300",4.75,-2.61
LeBron James,47.33,SF,LAL,ATL,34,"10,400",4.55,-4.67
Andre Drummond,45.72,C,CLE,MIN,27,"8,800",5.20,1.72
Christian Wood,43.77,PF,HOU,OKC,32,"8,900",4.92,-0.73
Shai Gilgeous-Alexander,43.44,SG,OKC,HOU,33,"8,300",5.23,1.94
Zach LaVine,43.42,SG,CHI,NYK,35,"9,000",4.82,-1.58
Bam Adebayo,42.51,PF,MIA,CHA,34,"9,100",4.67,-2.99
Julius Randle,42.10,PF,NYK,CHI,35,"8,800",4.78,-1.90
Trae Young,41.80,PG,ATL,LAL,35,"10,400",4.02,-10.20
Zion Williamson,40.77,PF,NO,SAC,35,"8,300",4.91,-0.73
Brandon Ingram,40.62,SF,NO,SAC,35,"8,000",5.08,0.62
De'Aaron Fox,40.59,PG,SAC,NO,34,"8,200",4.95,-0.41
Clint Capela,40.21,C,ATL,LAL,33,"8,800",4.57,-3.79
Jimmy Butler,39.65,SF,MIA,CHA,32,"8,700",4.56,-3.85
Khris Middleton,39.01,SF,MIL,POR,33,"7,900",4.94,-0.49
Deandre Ayton,37.19,C,PHX,DAL,32,"8,300",4.48,-4.31
Ja Morant,36.94,PG,MEM,SAS,33,"7,800",4.74,-2.06
Jerami Grant,36.60,SF,DET,DEN,35,"7,500",4.88,-0.90
D'Angelo Russell,36.57,SG,MIN,CLE,32,"7,100",5.15,1.07
Victor Oladipo,36.55,SG,HOU,OKC,33,"8,200",4.46,-4.45
DeMar DeRozan,36.25,SG,SAS,MEM,32,"7,100",5.11,0.75
Enes Kanter,36.10,C,POR,MIL,30,"7,000",5.16,1.10
Gordon Hayward,36.06,SF,CHA,MIA,36,"7,600",4.74,-1.94
Kristaps Porzingis,35.83,PF,DAL,PHX,32,"7,000",5.12,0.83
Chris Paul,35.80,PG,PHX,DAL,33,"7,800",4.59,-3.20
John Wall,35.79,PG,HOU,OKC,31,"7,200",4.97,-0.21
Collin Sexton,35.62,SG,CLE,MIN,34,"6,800",5.24,1.62
Dejounte Murray,35.07,PG,SAS,MEM,30,"6,900",5.08,0.57
Jrue Holiday,33.44,PG,MIL,POR,33,"7,500",4.46,-4.06
Brandon Clarke,33.02,PF,MEM,SAS,30,"6,400",5.16,1.02
Malik Beasley,32.30,SF,MIN,CLE,32,"6,500",4.97,-0.20
Jamal Murray,32.13,PG,DEN,DET,34,"7,600",4.23,-5.87
