Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,20202021,EDM,L,C,13,9,17,26,0,10,2,5,15,4,11,0,0,1,3,48,18.8,22:29,50.9
Leon Draisaitl,20202021,EDM,L,C,13,7,16,23,11,4,1.77,2,13,4,9,1,1,0,3,35,20,22:15,58.2
Mitchell Marner,20202021,TOR,R,R,12,6,14,20,6,8,1.67,6,13,0,7,0,0,0,2,29,20.7,22:58,100
James van Riemsdyk,20202021,PHI,L,L,13,7,11,18,5,4,1.38,2,12,5,6,0,0,0,0,30,23.3,15:41,66.7
Patrick Kane,20202021,CHI,L,R,13,6,11,17,0,6,1.31,5,11,1,6,0,0,0,0,48,12.5,21:48,--
Nicklas Backstrom,20202021,WSH,L,C,12,6,11,17,0,2,1.42,4,11,2,6,0,0,0,0,30,20,19:55,43
Quinn Hughes,20202021,VAN,L,D,15,1,15,16,-12,6,1.07,1,8,0,8,0,0,0,0,39,2.6,22:09,--
Brad Marchand,20202021,BOS,L,L,11,7,8,15,6,2,1.36,4,6,2,7,1,2,0,0,32,21.9,19:52,60
Joe Pavelski,20202021,DAL,R,C,9,7,8,15,7,6,1.67,2,6,5,9,0,0,0,2,25,28,20:06,51.3
Patrice Bergeron,20202021,BOS,R,C,11,6,9,15,5,2,1.36,1,5,4,9,1,1,1,1,42,14.3,18:39,60.2
Artemi Panarin,20202021,NYR,R,L,10,5,10,15,2,0,1.5,3,9,2,6,0,0,0,0,30,16.7,21:36,0
Auston Matthews,20202021,TOR,L,C,11,10,4,14,4,0,1.27,7,11,3,3,0,0,0,4,50,20,21:42,53.7
Brock Boeser,20202021,VAN,R,R,15,9,5,14,-6,8,0.93,6,10,3,4,0,0,0,1,39,23.1,18:46,50
Jeff Petry,20202021,MTL,R,D,12,6,8,14,14,2,1.17,4,7,2,6,0,1,0,1,32,18.8,21:47,--
Mark Scheifele,20202021,WPG,R,C,11,5,9,14,-1,4,1.27,5,10,0,4,0,0,0,1,29,17.2,22:29,50.8
Mark Stone,20202021,VGK,R,R,9,3,11,14,7,9,1.56,3,11,0,3,0,0,0,2,19,15.8,18:16,57.1
Nathan MacKinnon,20202021,COL,R,C,10,2,12,14,6,2,1.4,0,8,2,6,0,0,0,0,41,4.9,20:17,47.2
Anze Kopitar,20202021,LAK,L,C,11,2,12,14,-1,2,1.27,2,6,0,8,0,0,0,1,25,8,22:04,54.8
Tyler Toffoli,20202021,MTL,R,C,12,9,4,13,8,4,1.08,5,7,2,3,2,3,0,1,42,21.4,16:40,45.5
Johnny Gaudreau,20202021,CGY,L,L,11,7,6,13,0,0,1.18,4,7,3,6,0,0,0,2,24,29.2,19:14,--
J.T. Miller,20202021,VAN,L,C,12,3,10,13,-6,8,1.08,2,6,1,7,0,0,0,1,19,15.8,19:13,50.8
Kyle Connor,20202021,WPG,L,L,11,7,5,12,-4,6,1.09,3,8,4,4,0,0,0,1,28,25,19:55,100
Joel Farabee,20202021,PHI,L,L,13,6,6,12,6,6,0.92,6,10,0,2,0,0,0,1,28,21.4,14:19,25
Bo Horvat,20202021,VAN,L,C,15,6,6,12,-6,4,0.8,3,8,3,4,0,0,0,0,31,19.4,18:52,53.4
Nikolaj Ehlers,20202021,WPG,L,L,11,6,6,12,9,0,1.09,5,10,1,2,0,0,1,2,39,15.4,17:03,--
Alex DeBrincat,20202021,CHI,R,L,9,6,6,12,3,2,1.33,3,7,3,5,0,0,1,2,34,17.7,19:06,25
John Tavares,20202021,TOR,L,C,12,5,7,12,4,6,1,1,6,4,6,0,0,0,1,33,15.2,17:56,60.8
Jordan Kyrou,20202021,STL,R,C,12,5,7,12,3,0,1,5,11,0,1,0,0,0,2,28,17.9,14:07,50
Alex Ovechkin,20202021,WSH,R,L,8,5,7,12,-2,2,1.5,4,8,1,4,0,0,1,1,32,15.6,20:10,0
Tom Wilson,20202021,WSH,R,R,10,5,7,12,1,9,1.2,4,9,1,3,0,0,0,1,19,26.3,18:17,45.5
William Nylander,20202021,TOR,R,R,12,4,8,12,2,6,1,3,7,1,5,0,0,0,0,24,16.7,16:08,57.1
Jonathan Huberdeau,20202021,FLA,L,L,9,4,8,12,-1,10,1.33,3,5,1,7,0,0,0,0,12,33.3,16:51,0
Conor Garland,20202021,ARI,R,R,11,4,8,12,6,8,1.09,3,9,1,3,0,0,0,0,44,9.1,17:10,33.3
Jakub Voracek,20202021,PHI,L,R,13,3,9,12,2,6,0.92,3,9,0,3,0,0,0,0,18,16.7,16:34,40
Nick Suzuki,20202021,MTL,R,C,12,3,9,12,6,8,1,2,7,1,4,0,1,0,0,22,13.6,18:19,39.8
Elias Lindholm,20202021,CGY,R,C,11,3,9,12,1,10,1.09,2,6,1,6,0,0,0,1,28,10.7,21:26,52.2
Cale Makar,20202021,COL,R,D,11,1,11,12,9,2,1.09,1,6,0,6,0,0,0,0,24,4.2,24:01,--
Christian Dvorak,20202021,ARI,L,C,11,6,5,11,1,6,1,3,7,3,4,0,0,0,2,24,25,18:34,51.6
Max Pacioretty,20202021,VGK,L,L,9,6,5,11,7,4,1.22,5,9,1,2,0,0,1,1,41,14.6,17:16,20
Kevin Hayes,20202021,PHI,L,C,13,6,5,11,4,2,0.85,5,9,1,2,0,0,1,1,32,18.8,18:47,49.6
Filip Forsberg,20202021,NSH,R,L,11,6,5,11,4,6,1,4,8,2,3,0,0,1,2,43,14,19:26,100
Brayden Schenn,20202021,STL,L,C,12,6,5,11,7,9,0.92,5,10,1,1,0,0,0,0,33,18.2,18:34,50.9
Ryan Nugent-Hopkins,20202021,EDM,L,C,13,5,6,11,-1,2,0.85,2,4,3,7,0,0,0,0,44,11.4,22:20,38.9
