"","x"
"1",54.2035336341915
"2",49.2025403973294
"3",48.7746119334315
"4",46.640473437648
"5",48.5711506355928
"6",49.7070337112906
"7",47.4733373836429
"8",53.6574710409621
"9",46.5286086775856
"10",48.3354145073793
"11",52.5287765853211
"12",49.6328339022076
"13",51.9710984816557
"14",51.5096612383926
"15",49.8851012765688
"16",54.5972096388841
"17",48.0494273161802
"18",49.298217054547
"19",55.2092659099693
"20",45.3115729417801
"21",45.8395330006217
"22",49.9343559261324
"23",48.0156589225636
"24",54.3449823680899
"25",50.2478367235636
"26",51.8597237127238
"27",50.1834573825611
"28",50.034694207509
"29",46.9488237243498
"30",54.6723524959574
"31",48.3813890365055
"32",54.5890151450936
"33",44.9495483406245
"34",49.0586082867148
"35",49.7292104611714
"36",55.688101001479
"37",49.5434804180899
"38",51.2917645630764
"39",51.7148215657193
"40",50.2965510004573
"41",53.8824073648651
"42",49.7389515552428
"43",51.7565664891904
"44",51.2856243132752
"45",54.5384357904098
"46",52.7894386484396
"47",49.3278639951693
"48",48.9694384853973
"49",50.1881235752156
"50",48.4919799786304
"51",48.3328719104317
"52",44.5979780087838
"53",46.9148608107537
"54",46.4525944730949
"55",54.6846153952783
"56",43.6446268774871
"57",51.2851157691038
"58",56.2154530539826
"59",55.3103914036696
"60",49.5850222597892
"61",48.803163867232
"62",48.1881504575175
"63",45.8774076849785
"64",53.3387292538549
"65",54.3629351916653
"66",47.4139223989389
"67",52.254066439891
"68",52.0951958746649
"69",49.6127206125702
"70",50.5768299933442
"71",52.5863268628285
"72",48.9295374013698
"73",54.1991393456339
"74",53.4762581503614
"75",51.0163370257735
"76",50.7201377587083
"77",51.471476979219
"78",46.9770743736289
"79",47.7603596621979
"80",51.684950183224
"81",50.5547262137754
"82",52.278296244134
"83",44.1090433954733
"84",55.2071953927328
"85",52.1672013194083
"86",47.8534614741121
"87",50.5764620560834
"88",52.3290044807135
"89",46.3534072792093
"90",50.7529402490595
"91",49.1695121247044
"92",46.2164651118512
"93",51.0755830189407
"94",49.3928830701001
"95",52.1735283770869
"96",49.9792119403069
"97",50.5682474335976
"98",45.9146289689048
"99",53.3298671482422
"100",48.8897626052941
"101",61.6590810108179
"102",54.4658748954031
"103",56.833082383736
"104",57.4518077006364
"105",48.4826218070647
"106",46.4067659671193
"107",52.2317988046175
"108",51.0351104408817
"109",48.761736128299
"110",44.9574318489129
"111",51.6133599086592
"112",50.7965620847646
"113",50.6228075427405
"114",49.2373317153503
"115",51.9971472549408
"116",44.9241533391017
"117",51.6175374684168
"118",49.9701676097114
"119",49.328497655935
"120",49.5574014384872
"121",53.0765594805005
"122",50.481183990944
"123",50.3002607568643
"124",49.5045121322034
"125",50.3083394832906
"126",55.3600327341135
"127",51.5995310450526
"128",53.5018804393472
"129",46.9540387616492
"130",53.3403539514777
"131",53.2137888525968
"132",51.8776320156991
"133",50.9311389060447
"134",48.5448499543024
"135",47.999742950593
"136",53.0530212586159
"137",45.771172732735
"138",45.2437157996489
"139",52.000479406509
"140",53.5495357654323
"141",52.2842629922204
"142",51.6835927307345
"143",50.1906004240164
"144",51.0933506078419
"145",48.7675916708511
"146",49.417603694563
"147",50.4316522226129
"148",49.1231642484477
"149",52.1933595155382
"150",45.0451638575304
"151",49.9007269207903
"152",52.8862049188239
"153",51.4581976028178
"154",50.0308663012979
"155",50.2119240746065
"156",44.2242670749602
"157",44.2770153026152
"158",52.4435802592865
"159",50.2520608536239
"160",52.8152452274702
"161",45.5832141894916
"162",55.5437992846423
"163",52.5165219803144
"164",51.1215151777405
"165",55.6142703739757
"166",51.0000471415441
"167",53.3725654905027
"168",47.4042149611316
"169",44.7499440229841
"170",49.9327380015261
"171",50.8755034612607
"172",49.3324348293424
"173",48.3802248166313
"174",51.3252318490804
"175",49.4552689542739
"176",47.0891114749185
"177",54.0306026778286
"178",52.1069583523501
"179",47.4593879499463
"180",54.2494846664647
"181",46.6839912595393
"182",52.0058335932258
"183",48.8249489047493
"184",51.7084907176624
"185",51.3671035110942
"186",53.0198276434548
"187",57.5602483656176
"188",51.197005772641
"189",54.8593321790762
"190",49.4921143402608
"191",49.6678155688585
"192",46.5745216167528
"193",51.8044210267398
"194",52.3892666253653
"195",49.1519654792651
"196",50.3103458656911
"197",47.4116342273873
"198",51.5134796895649
"199",51.8358465736955
"200",51.6997553492532
"201",47.7237773053991
"202",50.5751596424639
"203",51.7863042038081
"204",47.6507111926722
"205",54.8998450961966
"206",47.5409296769374
"207",43.9151918660099
"208",49.4196489278237
"209",51.5741622219304
"210",57.6422776593633
"211",45.6904204384599
"212",52.6372880936515
"213",43.6914092409806
"214",50.8083446441995
"215",50.9946616348467
"216",49.3665795550203
"217",51.2517935481079
"218",51.3993165159916
"219",51.0242243089468
"220",49.6676771277968
"221",51.8961182730508
"222",55.6501104501441
"223",51.4513433343815
"224",50.8432806326591
"225",50.1339987844205
"226",49.4095315575516
"227",49.1557043612676
"228",52.5306638764509
"229",53.6316484357986
"230",47.5127297367977
"231",47.7034748135733
"232",46.0945491186748
"233",49.932362958508
"234",48.7329619598682
"235",48.5892886436868
"236",54.4368008132526
"237",58.3760983727913
"238",46.9097040726788
"239",49.2727845985421
"240",52.8626866865399
"241",44.7882184541844
"242",50.4245232329136
"243",52.3279802699574
"244",45.0242153501502
"245",47.3077367882796
"246",50.7795619782867
"247",47.8023824672499
"248",46.2826369025353
"249",46.0207545473792
"250",41.3940925502859
"251",54.3349864157544
"252",49.3904124475654
"253",51.2941495243369
"254",47.536100767271
"255",49.6708305687944
"256",52.1412753830986
"257",49.5917593359167
"258",45.7398423195279
"259",49.2565091268478
"260",54.536037720885
"261",54.4017165053234
"262",47.6293961081084
"263",44.3411390722657
"264",46.7728055802127
"265",48.8758322398791
"266",46.3292490195241
"267",48.4591066677432
