Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,20202021,EDM,L,C,30,17,35,52,10,14,1.73,11,30,6,22,0,0,1,4,119,14.3,22:29,51.2
Leon Draisaitl,20202021,EDM,L,C,30,16,29,45,20,10,1.5,6,26,9,18,1,1,0,5,88,18.2,21:59,56.8
Patrick Kane,20202021,CHI,L,R,29,11,30,41,8,12,1.41,9,27,2,14,0,0,0,1,103,10.7,22:03,--
Mitchell Marner,20202021,TOR,R,R,30,11,28,39,15,14,1.3,11,25,0,13,0,1,0,2,82,13.4,22:38,100
Auston Matthews,20202021,TOR,L,C,27,21,15,36,8,6,1.33,13,26,8,10,0,0,1,7,112,18.8,22:03,52.3
Mark Scheifele,20202021,WPG,R,C,27,12,24,36,1,8,1.33,9,26,3,10,0,0,0,2,54,22.2,21:28,44.3
Jonathan Huberdeau,20202021,FLA,L,L,27,10,22,32,1,12,1.19,7,18,3,14,0,0,1,1,49,20.4,17:21,37.5
Anze Kopitar,20202021,LAK,L,C,27,7,25,32,2,4,1.19,4,13,3,19,0,0,0,2,59,11.9,21:28,54.1
Brad Marchand,20202021,BOS,L,L,25,12,19,31,12,20,1.24,9,19,2,9,1,3,1,1,57,21.1,18:51,25
Aleksander Barkov,20202021,FLA,L,C,27,11,20,31,10,4,1.15,8,20,3,11,0,0,0,1,95,11.6,21:09,53.3
Mark Stone,20202021,VGK,R,R,24,9,22,31,16,15,1.29,8,25,1,6,0,0,0,5,42,21.4,18:05,35.3
Nicklas Backstrom,20202021,WSH,L,C,27,10,20,30,-1,4,1.11,7,19,3,11,0,0,0,0,49,20.4,18:52,44
Alex DeBrincat,20202021,CHI,R,L,25,15,14,29,7,2,1.16,10,19,5,10,0,0,2,3,82,18.3,20:29,46.7
Nikolaj Ehlers,20202021,WPG,L,L,27,14,15,29,10,7,1.07,10,22,4,7,0,0,1,3,84,16.7,16:47,100
Brock Boeser,20202021,VAN,R,R,31,14,15,29,0,10,0.94,8,18,5,10,1,1,0,1,72,19.4,19:08,45.5
David Perron,20202021,STL,R,L,28,11,18,29,-1,16,1.04,7,17,4,12,0,0,1,2,78,14.1,18:43,0
Mikko Rantanen,20202021,COL,L,R,26,13,15,28,7,6,1.08,8,18,5,10,0,0,0,3,87,14.9,20:10,52.5
James van Riemsdyk,20202021,PHI,L,L,25,12,16,28,8,10,1.12,5,20,7,8,0,0,0,0,60,20,16:44,50
Filip Forsberg,20202021,NSH,R,L,29,10,17,27,-7,12,0.93,7,17,3,10,0,0,1,3,108,9.3,18:27,33.3
Ryan O'Reilly,20202021,STL,L,C,28,9,18,27,9,16,0.96,7,21,2,6,0,0,0,1,68,13.2,21:22,59.8
Steven Stamkos,20202021,TBL,R,C,25,13,13,26,7,14,1.04,7,15,6,10,0,1,0,1,65,20,18:33,57.8
Ondrej Palat,20202021,TBL,L,L,27,11,15,26,4,4,0.96,4,11,7,15,0,0,0,4,63,17.5,17:18,--
Sidney Crosby,20202021,PIT,L,C,26,10,16,26,3,12,1,7,17,3,9,0,0,2,2,71,14.1,20:07,54
John Tavares,20202021,TOR,L,C,30,9,17,26,11,6,0.87,4,17,5,9,0,0,0,1,83,10.8,18:10,58.6
J.T. Miller,20202021,VAN,L,C,28,7,19,26,-4,23,0.93,5,12,2,14,0,0,0,2,54,13,20:48,58.1
Victor Hedman,20202021,TBL,L,D,27,5,21,26,7,20,0.96,4,10,1,16,0,0,0,0,66,7.6,25:30:00,--
Joe Pavelski,20202021,DAL,R,C,24,14,11,25,9,6,1.04,4,11,10,14,0,0,0,2,59,23.7,19:48,51.3
Max Pacioretty,20202021,VGK,L,L,25,13,12,25,11,4,1,10,21,3,4,0,0,3,4,110,11.8,17:42,44.8
Kyle Connor,20202021,WPG,L,L,27,12,13,25,-2,6,0.93,6,18,6,7,0,0,0,2,82,14.6,18:39,85.7
Jeff Petry,20202021,MTL,R,D,27,11,14,25,14,10,0.93,7,14,4,10,0,1,0,2,70,15.7,22:23,--
Brayden Point,20202021,TBL,R,C,27,10,15,25,5,11,0.93,7,16,3,9,0,0,1,3,75,13.3,18:26,44
Sebastian Aho,20202021,CAR,L,C,27,10,15,25,7,12,0.93,6,16,3,8,1,1,0,2,66,15.2,19:20,53.3
Blake Wheeler,20202021,WPG,R,R,27,7,18,25,-6,22,0.93,5,14,2,11,0,0,0,1,62,11.3,19:02,50
Vincent Trocheck,20202021,CAR,R,C,24,13,11,24,1,8,1,7,11,6,13,0,0,0,2,68,19.1,18:45,56
William Nylander,20202021,TOR,R,R,30,12,12,24,9,8,0.8,9,16,3,8,0,0,1,2,75,16,16:19,57.1
Brayden Schenn,20202021,STL,L,C,28,12,12,24,4,11,0.86,9,18,3,6,0,0,0,0,69,17.4,19:39,50
Patrice Bergeron,20202021,BOS,R,C,25,10,14,24,10,4,0.96,4,13,4,9,2,2,1,1,82,12.2,18:00,62.8
Jake Guentzel,20202021,PIT,L,L,27,10,14,24,3,16,0.89,7,15,3,9,0,0,0,4,74,13.5,20:21,0
Kirill Kaprizov,20202021,MIN,L,L,26,10,14,24,10,8,0.92,8,22,2,2,0,0,1,2,67,14.9,18:24,17.7
Mathew Barzal,20202021,NYI,R,C,29,9,15,24,14,30,0.83,8,19,1,5,0,0,0,1,75,12,19:34,45.5
Nathan MacKinnon,20202021,COL,R,C,22,7,17,24,9,2,1.09,5,16,2,8,0,0,0,0,94,7.5,20:37,52.9
John Carlson,20202021,WSH,R,D,27,6,18,24,-4,6,0.89,3,16,3,8,0,0,0,1,72,8.3,24:04:00,--
